Tobacco_mosaic_virus :8.7E-6
Poliovirus_1 :9E-5
Murine_hepatitis_virus :3.5E-6
Influenza_A_virus :2.3E-6
Influenza_B_virus :1.7E-6
Bacteriophage_φ6 :1.6E-6
Murine_leukemia_virus :3E-5
Bovine_leukemia_virus :1.7E-5
Human_T-cell_leukemia_virus_type_1 :1.6E-5
Human_immunodeficiency_virus_1 :2.4E-5
Bacteriophage_φX174 :1.1E-6
Bacteriophage_M13 :7.9E-7
Bacteriophage_λ :5.3E-7
Herpes_simplex_virus_type_1 :5.9E-8
Bacteriophage_T2 :9.8E-8
Bacteriophage_Qβ :1.4E-4
Human_rhinovirus_14 :6.9E-5
Tobacco_etch_virus :1.2E-5
Hepatitis_C_virus :3.8E-5
Vesicular_stomatitis_virus :3.7E-5
Measles_virus :3.5E-5
Duck_hepatitis_B_virus :2E-5
Foamy_virus :2.1E-5
Rous_sarcoma_virus :1.4E-4
Human_cytomegalovirus :2E-7
Fungi_Candida_albicans :1.20E-10
Fungi_Aspergillus_fumigatus_MFIG001 :2.78E-10
Fungi_Zymoseptoria_tritici_IPO323 :3.20E-10
Fungi_Zymoseptoria_tritici_Zt05 :2.90E-10
Fungi_Zymoseptoria_tritici_ZT10 :4.52E-09
Fungi_Saccharomyces_Cerevisiae_S288C :1.35E-10
Fungi_Saccharomyces_Cerevisiae_YJM789 :1.16E-10
Fungi_Saccharomyces_Cerevisiae_RM11-1a :5.4E-9
